skill,group_skills,title,role,short_role,,,,,,,,,
Cloud Tasks,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Code for IntelliJ,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Container Registry,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Source Repositories,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Active Directory (SSO),Cloud Identities and Access,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Active Directory Domain Services,Cloud Identities and Access,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Active Directory B2C,Cloud Identities and Access,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Identity & Access Management (IAM),Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Single Sign On,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS CloudFront,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon DynamoDB Database,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Cognito,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS API Gateway,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Athena - Serverless Interactive Query Service,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Simple Storage Service (Amazon S3),Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Simple Notification Service (SNS),Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Active Directory,Cloud Identity & Access Management,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure API for FHIR,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Service Bus,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
API Management and Monetization,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Event Grid,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Logic Apps,Cloud Integration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Fargate Compute Engine for ECS and EKS,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS CloudTrail Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon SageMaker Cloud Machine-Learning,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Elastic Container Service for Kubernetes,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Virtual Private Cloud (VPC),Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon GuardDuty Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Macie Security Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Route 53 (Route 53) Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Elastic Compute Cloud (Amazon EC2),Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Glue (ETL) Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Database Migration Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Key Management Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Migration Hub Service,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Relational Database Service (RDS),Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Simple Queue Service (SQS),Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AWS Certificate Manager,Cloud Major Services,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Managed Applications,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Lighthouse,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Automation Platform,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cost Management,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Microsoft Azure Portal,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Blueprints,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Shell,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Service Health,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Resource Manager,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Policy,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Scheduler Tool,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Advisor,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Incident Response and Management,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Error Reporting,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Google Stackdriver System,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
