skill,group_skills,title,role
Microsoft Azure Portal,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Blueprints,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Shell,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Service Health,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Resource Manager,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Policy,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Scheduler Tool,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Advisor,Cloud Management and Governance,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Incident Response and Management,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Error Reporting,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Google Stackdriver System,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Mobile App,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Transparent Service Level Indicators,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Service Monitoring,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Orbitera White-Label Marketplace,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Profiler Tool,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Console,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Logging Techniques,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Anthos Service Mesh,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Trace System,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Private Catalog,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Shell,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Debugger Technique,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud APIs,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Deployment Manager,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cost Management,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Monitoring Tool,Cloud Management Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Migrate,Cloud Migration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Database Migration Service,Cloud Migration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Data Box,Cloud Migration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Site Recovery,Cloud Migration,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Storage Transfer Service,Cloud Migration,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Foundation Toolkit,Cloud Migration,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Migrate for Compute Engine,Cloud Migration,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
VM Migration,Cloud Migration,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Data Transfer,Cloud Migration,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Transfer Appliance,Cloud Migration,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
BigQuery Data Transfer Service,Cloud Migration,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Migrate for Anthos,Cloud Migration,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Kinect DK,Cloud Mixed Reality,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Spatial Anchors,Cloud Mixed Reality,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Remote Rendering,Cloud Mixed Reality,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Digital Twins,Cloud Mixed Reality,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Mobile Apps Development,Cloud Mobile,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Xamarin Platform,Cloud Mobile,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Mobile Apps Development,Cloud Mobile,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Visual Studio App Centre,Cloud Mobile,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Bastion,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Load Balancer,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure DNS,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Virtual WAN,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Front Door,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Virtual Network,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
ExpressRoute,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Application Gateway,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
VPN Gateway,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Traffic Manager,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Firewall,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Network Watcher,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Content Delivery Network,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Private Link,Cloud Networking,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud CDN,Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Load Balancing,Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Virtual Private Cloud (VPC),Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Hybrid Connectivity,Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Traffic Director,Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Armor,Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud DNS,Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Network Service Tiers,Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Network Telemetry,Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud NAT,Cloud Networking,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Dedicated HSM,Cloud Security,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
